Name,Description,Link,City,Zip,Member Count,Topic Category,Topics,Past Events
Boston Society of American Magicians Group,"Magicians, learning magicians, or people in allied arts puppetry, balloon sculpting, juggling, etc.",https://www.meetup.com/boston-society-of-american-magicians-meetup-group,Brookline,02445,63,Art & Culture,"Houdini, Performing Arts, Magic, Beginner Magic, Creativity","Walk Around Magic(Date: 2019-11-13), Magic Auction - Free Admission(Date: 2019-12-11), Teach-In, Card Tricks. January Meeting(Date: 2020-01-15)"
"Cloud Security Alliance, Boston Chapter",The Cloud Security Alliance CSA is the worlds leading organization dedicated to defining and rais,https://www.meetup.com/cloud-security-alliance-csa-boston,Boston,02108,1381,Technology,"Network Security, Software Security, Information Security, Cloud Security, Computer Security, Cybersecurity","Adopting AWS A Security Perspective(Date: 2018-10-09), Market of Assured  Trustworthy Complex Industrial IoT CyberPhysical Systems(Date: 2018-11-13), Cloud App Security Maturity Model(Date: 2018-12-04)"
Boston Tech Solidarity Hack Night,Boston Tech Solidarity folks! This is an unofficial meetup for brainstorming and building tech pr,https://www.meetup.com/boston-tech-solidarity-hack-night,Boston,02215,74,Movements & Politics,"Political Activism, Civic Hacking",Thu March 2 - First Boston Tech Solidarity Hack Night!(Date: 2017-03-02)
Boston Young Writers Critique Group,This group is intended for creative writers of prose fiction 18-35 who are dedicated to improvin,https://www.meetup.com/boston-young-writers,Cambridge,02138,148,Writing,"Short Story Writing, Fiction Writing, Creative Writing, Fiction, Writing Workshops, Novel Writing, Critique Group, Short Stories","Young Writers Meet  Greet and Group Setup(Date: 2017-08-12), First Critique Workshop(Date: 2017-09-02), Critique Workshop(Date: 2017-09-30)"
Boston Blockchain Fintech Innovation Meetup,"We are a group of entrepreneurs, investors and business professionals who have interest in fintec",https://www.meetup.com/fintech-blockchain,Boston,02108,777,Technology,"Investing, New Technology, Entrepreneurship, Cryptocurrency, Blockchain, Currency Trading","Boston Crypto Maiden Meetup(Date: 2017-07-20), Panel Discussion - The Dos and Donts of Launching A Successful Token SaleICO(Date: 2017-09-05), The Dark Side of Crypto(Date: 2017-10-18)"
Boston - Big Data Meetup Group,"WELCOME to Boston - Big Data Meetup Group!
We will be hosting a Virtual Workshop twice per",https://www.meetup.com/boston-big-data-meetup-group,Boston,02108,263,Technology,"EC2, Big Data, Amazon Web Services, Engineering, Business Intelligence & Data Warehousing, Data Analytics, Data Warehouse, Data Lakes","FREE Virtual Workshop Create an Amazon Redshift Data Warehouse w. AWS  Etleap(Date: 2020-07-15), FREE Virtual Workshop Create an Amazon Redshift Data Warehouse w. AWS  Etleap(Date: 2020-07-15), FREE - Looker BEACON Virtual Session - eMoney  Etleap From Silos to Synergies(Date: 2020-09-15)"
Boston Young Professionals Christian Meetup,We are the Young Professionals Ministry of the Boston Church of Christ and have events and small gro,https://www.meetup.com/boston-small-group-bible-study,Boston,02108,109,Religion & Spirituality,"Spirituality, Christian Parenting, The Bible, Exploring Christianity, Bible Study, Following Jesus, Christian Social, Christian Women, Christian Singles, Christian, Jesus Christ","Virtual Bible Discussion(Date: 2022-02-02), Virtual Bible Discussion(Date: 2022-03-02), Fill-A-Bag for Kids Club(Date: 2022-03-17)"
Boston Philosophy of Science Meetup Group,Discussions on the philosophy and foundations of Physics,https://www.meetup.com/boston-philosophy-of-science-meetup-group,Boston,02108,69,Science & Education,"Physics, Philosophy, Ethics, Intellectual Discussions, Critical Thinking, Theoretical Physics, Intellectual Friends",
Boston Real Estate Investor Club,"The Mission for Boston Real Estate Investor Club is tonbspserve, connect and help all the",https://www.meetup.com/boston-real-estate-investor-club,Boston,02108,1799,Career & Business,"Landlords & Property Managers, Investing, Real Estate Agents, Professional Networking, Real Estate Investors, Business Strategy, Real Estate, Entrepreneurship, Beginner Real Estate Investing, Real Estate Networking, Real Estate Investing, Real Estate Investment Education","Grand Opening of Boston Real Estate Insiders Club Topic Wholesaling Houses(Date: 2019-03-13), Wholesaling Houses Workshop With Gregory Lawrence Thorne(Date: 2019-03-30), High Performance Success Summit(Date: 2019-06-08)"
Gay Young Old Somerville & Boston,This is a group for gay older men and younger men. Meetups will be an open environment for all ge,https://www.meetup.com/somerville-young-and-old-and-all-between-meetup-group,Somerville,02144,289,Identity & Language,"Philosophy, Gay Friends, Gay, Gay Couples, Gay Men, Gay Seniors 50+","Gay Young Old Meetup(Date: 2020-01-19), Gay Young Old Meetup 2(Date: 2020-02-16), Twinks and Drinks(Date: 2020-03-28)"
Boston Area Drawing & Digital Art,"This is a group for artists in the Boston metro area to hang out while working on art, and to sha",https://www.meetup.com/boston-area-drawing-digital-art,Cambridge,02138,339,Art & Culture,"Sketching, Drawing, Digital Art, 3D Artists, Animation, Illustration, Game Design, 3D Modeling, Figure Drawing, Industrial Design, Character Design","2016 Meetup 7 - make awesome art!(Date: 2016-05-15), 2016 Meetup 8 - create cool stuff!(Date: 2016-05-29), Drawing  Digital Art 2016 meetup 9(Date: 2016-06-26)"
Boston Global Diversity CFP Community,"At Bostons Global Diversity CFP Day Community, we support people who identify as members of unde",https://www.meetup.com/boston-global-diversity-cfp-community,Cambridge,02140,54,Technology,"Professional Development, Public Speaking, Internet Professionals, Presentations, Communication Skills, Web Technology, Diversity & Inclusion","GDCFP Hangout at Caffe Nero(Date: 2018-12-15), Global Diversity CFP Day 2019(Date: 2019-03-02), Mini workshop on impostor syndrome with Rayshauna Gray and Women Who Code Boston(Date: 2019-10-29)"
Boston Spiritual Calling Awakening Group,"Welcome to Spirit Calling!

Embark on a profound journey of awakening with the support of a caring c",https://www.meetup.com/boston-spiritual-growth-meetup-group,Boston,02108,44,Religion & Spirituality,"Spiritualism, Mindfulness Meditation, Channeling, Intuitive Spiritual & Psychic Development, Spiritual Growth, Energy Healing, Enlightenment, Spiritual Awakening, Past Life Regression, Reiki","Spiritual Awakening Sundays(Date: 2023-08-06), Spiritual Awakening Sundays(Date: 2023-08-13), Spiritual Sunday LIVE with Pamela Downes(Date: 2023-08-20)"
