OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,ShapeSTArea,ShapeSTLength
258,South Street Mall & Courts,City of Boston,A97/Trust Fund,3,Jamaica Plain,0.42841601,52 South Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,288,PARK_Maintenance_Region 3,288,YES,02130,1901252000,0,18660.5332383432,548.881867999773
259,First Church Cemetery,Private,,4,Jamaica Plain,0.62835826, ,Residential District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7064,NO,02130,,0,27369.4243929862,678.771334772298
260,Golden Stairs Terrace Park I,City of Boston,A97,3,East Boston,0.17049598,10 Brigham Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Terrace Park,BPRD,135,PARK_Maintenance_Region 1,135,YES,02128,"0104598000,0104599000,0104596000,0104597000",2008,7426.33574751755,348.861517723952
261,The Rockies,City of Boston,A97,6,East Boston,0.71451437,"148 Marginal Street 
144 Marginal Street (Community Garden section)",Open Space District,Urban Wilds,BPRD,BPRD,X,X,,BPRD,301,PARK_Maintenance_Ground Maintenance,301,YES,02128,"0104569000,0104571000,0104564000,0104565000,0104572000,0104559000,0104574000,0104567000,0104578000,0104576000,0104560000,0104577000,0104561000,0104566000,0104562000,0104575000,0104579000,0104580000,0104573000,0104563000,0104568000,0104570000",0,31122.2803055475,1248.03578418151
262,Childe Hassam Park,City of Boston,A97,1,South End,0.06066722,324 Columbus Avenue,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Goldweitz Park,BPRD,054,PARK_Maintenance_Region 6,54,YES,02116,0400015000,1991,2642.49496037798,266.231025636165
263,Nellie Miranda Memorial Park,City of Boston,A97,3,Dorchester,0.08739218,39-41 Belden Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,,BPRD,213,PARK_Maintenance_Ground Maintenance,213,YES,02125,"0703888000,0703887000",0,3806.54962152615,252.110161885344
264,Grove Hall Plaza,City of Boston,A97,1,Roxbury,0.08834848,461-465 Blue Hill Avenue,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,139,PARK_Maintenance_Region 5,139,YES,02121,1202528000,0,3848.19016176921,282.196187089755
265,Chestnut Hill Reservoir Garden,Commonwealth of Massachusetts,A97,5,Allston-Brighton,0.11362569, ,Open Space District,Community Gardens,DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3052,YES,02135,,0,5078.18810749236,292.590837048473
266,Ohrenberger Play Area,City of Boston,,3,West Roxbury,0.67412629, ,Residential District,"Parks, Playgrounds & Athletic Fields",NULL,NULL,N,X,,,,INFO_Reallocation From Dept,2038,NO,02132,,0,29362.8586682624,1054.67532922573
267,Wilson Square,City of Boston,,1,Allston-Brighton,0.05818013,40 Dunboy Street,Open Space District,"Malls, Squares & Plazas",PWD,BPRD,N,X,Frederick S. Wilson Square,PWD,,PARK_Maintenance_Region 4,2039,YES,02135,,0,2534.16366430142,249.38873383564
268,Little Mystic Access Area,BRA,A97/LWCF/Ch91/WPA,3,Charlestown,2.06590881, ,Special District,"Parks, Playgrounds & Athletic Fields",NULL,NULL,X,X,,,,INFO_Reallocation From Dept,2159,YES,02129,,0,89985.6004733141,2090.81843378308
269,Moakley Park,City of Boston,A97/UPARR,3,South Boston,58.77738076,1005 Columbia Road,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Joe Moakley Park;  Joseph Moakley Park; Columbus Park",BPRD,200,PARK_Maintenance_Region 6,200,YES,02127,0700541000,1916,2560172.35341241,7177.03619437747
270,Kennedy Library Harborwalk,United States of America,Ch91/WPA,1,Dorchester,3.35985728, ,Industrial District,"Malls, Squares & Plazas",US GSA,NULL,N,X,JFK Library Harborwalk,US GSA,,INFO_Reallocation From Dept,6003,YES,02125,,0,146345.626887154,3992.18553976918
271,Peabody Square,City of Boston,A97,1,Dorchester,0.04662537,2 Peabody Square,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,232,PARK_Maintenance_Ground Maintenance,232,YES,02124,ROW,0,2030.86137229691,187.60614939048
272,Savin Hill Cove,Commonwealth of Massachusetts,A97/WPA,2,Dorchester,1.77458013, ,Special District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3053,YES,"02125, 02122",,0,77295.3277527853,2836.84110272672
273,Daniel E. O'Connor Park,City of Boston,A97,1,Dorchester,0.13515974, ,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Doucette Square;  Port Norfolk Park",BPRD,242,PARK_Maintenance_Region 2,242,YES,02122,1602690000,0,5887.15409372382,317.7196393721
274,Oakview Terrace,City of Boston,A97,1,Jamaica Plain,0.10008297,36P Oakview Terrace,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,218,PARK_Maintenance_Region 3,218,YES,02130,1900315500,0,4359.32322578055,249.785341626923
275,Belle Isle Marsh Reservation,Commonwealth of Massachusetts,A97/LWCF/WPA/Ch91/ACEC,2,East Boston,142.10358988, ,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3054,YES,02128,"0101358000,0101401000,0101402000",0,6189650.01268256,15949.7529593622
276,Allandale Field,Private,A97/Deed Restrt,3,West Roxbury,2.62654718, ,Conservation Protection Subdistrict,"Parks, Playgrounds & Athletic Fields",BPRD,Private+BPRD,X,X,Annunciation Field,,,INFO_Reallocation From Dept,7073,YES,"02132, 02467",2003601002,0,114404.621610917,1383.38665094632
277,Jamaicaway,City of Boston,A97/GPOD,2,Jamaica Plain,4.75005995, ,Institutional District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,DCR,,INFO_Reallocation From Dept,2164,YES,02130,,0,206898.899489375,16953.098976156
278,Perkins Street,Commonwealth of Massachusetts,A97/GPOD,2,Jamaica Plain,0.22702045, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,,,INFO_Reallocation From Dept,3056,YES,02130,,0,9888.37044891399,1359.77483730462
279,Chestnut Street,Commonwealth of Massachusetts,A97/GPOD,2,Jamaica Plain,1.03910568, ,Conservation Protection Subdistrict,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,,,INFO_Reallocation From Dept,3057,YES,02130,,0,45260.4256074399,2700.41609188357
280,Faneuil Square,City of Boston,A97,1,Central Boston,0.81678949,1P Faneuil Hall Square,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Faneuil Hall Sq.,BPRD,113,INFO_Reallocation From Dept,113,YES,02109,0303687000,0,35577.0851708714,1276.02283139445
281,Temple Street Park,City of Boston,A97/MPPF,1,Back Bay/Beacon Hill,0.06073199,46 Temple Street,Residential District,"Malls, Squares & Plazas",BPRD,Private,X,X,,BPRD,300,INFO_Reallocation From Dept,300,YES,02114,"0300009000,0300010000",0,2645.31965960531,206.678607064724
282,American Legion Highway,City of Boston,100,2,Multi-District,6.77560767, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",NULL,BPRD,N,X,,PWD,,PARK_Maintenance_Region 2,2165,YES,"02126, 02121, 02124, 02131",ROW,0,293027.015473134,24772.724291242
283,Morton Street,Commonwealth of Massachusetts,A97,2,Multi-District,0.76096783, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3058,YES,"02126, 02130, 02124, 02131",ROW,0,33145.531754132,12654.8615617017
284,St Michael's Cemetery,Private,,4,Mattapan,46.50379724, ,Open Space District,Cemeteries & Burying Grounds,Private,NULL,N,,,,,INFO_Reallocation From Dept,7079,NO,"02130, 02131",,0,2004776.00832327,12176.3343168854
285,Patten's Cove,Commonwealth of Massachusetts,A97/WPA/Ch91,2,Dorchester,9.66123628, ,Industrial District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,"Savin Hill Marsh; Dorchester Shores Reservation",DCR,,INFO_Reallocation From Dept,3059,YES,02125,,0,420815.477059012,3329.03050308029
286,Leo M. Birmingham Parkway,Commonwealth of Massachusetts,A97,2,Allston-Brighton,6.98172672, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3060,YES,02135,,0,304104.404342058,17169.3181348689
287,Rivermoor II,City of Boston,A97,6,West Roxbury,1.03369101,150 Rivermoor Street,Open Space District,Urban Wilds,BCC,BPRD,X,X,,BCC,,INFO_Reallocation From Dept,2166,YES,02132,2009228020,0,45024.4801864446,1034.60598088988
288,Rivermoor III,City of Boston,A97,6,West Roxbury,0.51911572, ,Open Space District,Urban Wilds,BCC,BPRD,X,X,202 Rivermoor St,BCC,,PARK_Maintenance_Ground Maintenance,1014,YES,02132,2009228030,0,22611.123350984,661.246354983619
289,Parley Vale Preserve,Private,A97/Easement,6,Jamaica Plain,0.72398241,18-20 Parley Street,Residential District,"Parks, Playgrounds & Athletic Fields",BCC,Private,X,N,,BCC,,INFO_Reallocation From Dept,1015,YES,02130,"1900902000,1900901000,1900903000",0,31534.5622311504,738.152916931121
290,Condor Street Overlook,City of Boston,A97/WPA,6,East Boston,0.45,2 Condor Street,Open Space District,Urban Wilds,BCC,BPRD,X,X,,BCC,,PARK_Maintenance_Ground Maintenance,1016,YES,02128,0103679000,0,492863.976950415,3018.79249015813
291,Truman Parkway,Commonwealth of Massachusetts,A97,2,Hyde Park,2.71500041, ,Industrial District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,,,,INFO_Reallocation From Dept,3061,YES,02136,,0,118257.155030356,15285.5689082433
292,West Austin Rock,City of Boston,A97,6,Hyde Park,0.29626499,216 West Street,Residential District,Urban Wilds,BCC,BPRD,X,X,West and Austin Street Rock Urban Wild,BCC,,PARK_Maintenance_Ground Maintenance,1017,YES,02136,1811312000,0,12904.4126342255,485.883217343989
293,Arborway Overpass Path,Commonwealth of Massachusetts,A97,2,Jamaica Plain,1.16385539, ,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,,,,INFO_Reallocation From Dept,3062,YES,02130,,0,50694.1863782647,10714.8764727172
294,Franklin Park Zoo,City of Boston,A97/LWCF/USH,3,Roxbury,63.82554862, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR,Zoo New England,X,X,Zoo New England,DCR,,INFO_Reallocation From Dept,2167,YES,02121,1203486000,0,2780051.57897264,7641.8374115906
295,Newland Street Park,City of Boston,A97,3,South End,0.1534102,"97 West Concord;  Playlot Entrance, 90HF Newland Street",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Newland Street Playground,BPRD,348,PARK_Maintenance_Region 6,348,YES,02118,"0900427000,0900429000,0900428000",0,6682.09863561454,357.034596542518
